ID,Customer_ID,Order_Date,Order_Month,Order_Quarter,Warehouse_Block,Shipment_Mode,Product_Category,Product_Importance,Gender,Weight_gms,Product_Cost,Discount,Customer_Rating,Customer_Care_Calls,Prior_Purchases,Delivery_Status,Delivery_Label,Delivery_Days,Risk_Score,Risk_Score_Value,Return_Risk,Return_Flag,Estimated_Revenue_Loss,Customer_Segment
24,3391,2023-11-13,11,4,F,Ship,Electronics,high,M,3922,211,12,3,4,3,1,On-Time,7,low,1,Low,No,0.0,Loyal Customer
25,2515,2023-09-26,9,3,D,Ship,Electronics,medium,F,3561,251,28,5,4,2,1,On-Time,6,low,1,Low,No,0.0,Loyal Customer
26,4485,2024-04-14,4,2,F,Ship,Electronics,low,M,3496,225,29,1,3,4,1,On-Time,7,medium,2,Medium,Yes,33.75,Loyal Customer
27,3853,2023-08-12,8,3,A,Ship,Grocery,high,F,1066,172,24,1,4,3,1,On-Time,3,medium,2,Medium,Yes,25.8,Loyal Customer
28,3433,2023-09-09,9,3,B,Ship,Beauty,medium,M,1435,162,31,1,5,3,1,On-Time,3,medium,2,Medium,Yes,24.3,Loyal Customer
29,2215,2023-03-05,3,1,C,Ship,Fashion,low,M,3134,234,44,3,2,4,1,On-Time,5,medium,2,Medium,Yes,35.1,Discount-Driven
30,1955,2024-04-08,4,2,F,Ship,Beauty,low,F,3819,183,36,4,5,2,1,On-Time,6,low,1,Low,No,0.0,Loyal Customer
31,3324,2023-05-04,5,2,D,Ship,Grocery,medium,F,2741,266,38,4,3,2,1,On-Time,7,low,1,Low,No,0.0,Loyal Customer
32,2184,2024-08-04,8,3,F,Ship,Electronics,low,F,3341,257,61,3,5,2,1,On-Time,4,medium,2,Medium,Yes,38.55,Discount-Driven
33,1459,2023-08-26,8,3,A,Ship,Grocery,low,F,3795,223,22,1,3,3,1,On-Time,4,medium,2,Medium,Yes,33.45,Loyal Customer
34,4385,2023-03-16,3,1,B,Ship,Furniture,medium,M,3261,234,4,2,4,3,1,On-Time,5,medium,2,Medium,Yes,35.1,Loyal Customer
35,1021,2024-03-17,3,1,C,Ship,Furniture,medium,F,2460,227,22,2,4,4,1,On-Time,6,medium,2,Medium,Yes,34.05,Loyal Customer
36,3300,2024-05-14,5,2,F,Ship,Beauty,medium,F,1811,149,44,4,5,3,1,On-Time,4,medium,2,Medium,Yes,22.35,Discount-Driven
37,1747,2024-06-05,6,2,D,Ship,Beauty,high,F,1477,137,62,5,3,4,1,On-Time,5,low,1,Low,No,0.0,Discount-Driven
38,3904,2023-09-25,9,3,F,Ship,Fashion,medium,F,3605,181,16,4,2,6,1,On-Time,5,low,1,Low,No,0.0,Loyal Customer
39,4632,2024-05-01,5,2,A,Ship,Fashion,low,F,3905,215,56,1,5,4,1,On-Time,6,high,3,High,Yes,32.25,High-Return Customer
40,1474,2024-08-22,8,3,B,Ship,Furniture,low,F,2383,269,45,2,4,5,1,On-Time,4,medium,2,Medium,Yes,40.35,Discount-Driven
41,2082,2023-02-19,2,1,C,Ship,Electronics,low,M,3798,227,15,1,5,2,1,On-Time,4,medium,2,Medium,Yes,34.05,Loyal Customer
42,3558,2024-10-16,10,4,F,Ship,Grocery,medium,M,1265,139,61,5,5,4,1,On-Time,4,medium,2,Medium,Yes,20.85,Discount-Driven
43,4753,2023-02-28,2,1,D,Ship,Fashion,medium,M,1647,137,38,5,3,2,1,On-Time,3,low,1,Low,No,0.0,Loyal Customer
44,3047,2024-03-29,3,1,F,Ship,Sports,low,M,1556,174,44,1,3,2,1,On-Time,4,medium,2,Medium,Yes,26.1,Discount-Driven
45,4547,2024-12-23,12,4,A,Ship,Fashion,low,M,1328,151,29,1,3,2,1,On-Time,7,medium,2,Medium,Yes,22.65,Loyal Customer
46,3747,2023-03-13,3,1,B,Ship,Electronics,low,F,2944,210,9,1,5,3,1,On-Time,3,medium,2,Medium,Yes,31.5,Loyal Customer
47,1975,2023-07-09,7,3,C,Ship,Electronics,medium,F,1245,169,32,4,3,4,1,On-Time,3,low,1,Low,No,0.0,Loyal Customer
48,2806,2024-07-15,7,3,F,Ship,Beauty,low,M,1576,160,32,1,5,2,1,On-Time,3,medium,2,Medium,Yes,24.0,Loyal Customer
49,1189,2024-12-17,12,4,D,Ship,Grocery,medium,M,3753,190,9,4,5,2,1,On-Time,3,low,1,Low,No,0.0,Loyal Customer
50,4005,2024-07-19,7,3,F,Ship,Electronics,low,F,2146,216,40,3,5,3,1,On-Time,5,medium,2,Medium,Yes,32.4,Loyal Customer
51,3734,2023-06-05,6,2,A,Ship,Fashion,low,M,2042,183,37,1,4,3,1,On-Time,7,medium,2,Medium,Yes,27.45,Loyal Customer
52,4005,2024-07-16,7,3,B,Ship,Fashion,low,M,1735,141,22,4,4,3,1,On-Time,6,low,1,Low,No,0.0,Loyal Customer
53,1562,2024-11-03,11,4,C,Ship,Furniture,low,F,1320,165,44,3,4,3,1,On-Time,4,medium,2,Medium,Yes,24.75,Discount-Driven
54,2899,2024-10-02,10,4,F,Ship,Electronics,low,M,1128,170,41,1,2,3,1,On-Time,3,medium,2,Medium,Yes,25.5,Discount-Driven
55,4638,2023-03-26,3,1,D,Ship,Sports,high,M,3539,203,12,3,4,3,1,On-Time,6,low,1,Low,No,0.0,Loyal Customer
56,2267,2023-03-10,3,1,F,Ship,Beauty,low,M,2437,246,46,5,2,5,1,On-Time,5,low,1,Low,No,0.0,Discount-Driven
57,3879,2024-01-20,1,1,A,Ship,Grocery,low,F,3096,238,61,3,3,3,1,On-Time,6,medium,2,Medium,Yes,35.7,Discount-Driven
58,2528,2024-01-08,1,1,B,Ship,Sports,medium,F,3453,193,29,3,3,3,1,On-Time,3,low,1,Low,No,0.0,Loyal Customer
59,4202,2023-02-24,2,1,C,Ship,Beauty,high,M,1367,141,41,5,5,3,1,On-Time,7,medium,2,Medium,Yes,21.15,Discount-Driven
60,4556,2023-03-26,3,1,F,Ship,Fashion,high,F,1923,150,17,1,4,3,1,On-Time,6,medium,2,Medium,Yes,22.5,Loyal Customer
61,4890,2024-08-14,8,3,D,Ship,Sports,low,F,2794,221,64,1,3,3,1,On-Time,3,medium,2,Medium,Yes,33.15,Discount-Driven
62,1646,2024-09-13,9,3,F,Ship,Beauty,medium,M,1158,179,52,3,3,3,1,On-Time,3,medium,2,Medium,Yes,26.85,Discount-Driven
63,3068,2023-11-13,11,4,A,Ship,Fashion,medium,M,1292,105,62,1,5,6,1,On-Time,4,high,3,High,Yes,15.75,High-Return Customer
64,3888,2023-06-13,6,2,B,Ship,Fashion,medium,M,1880,177,61,1,3,3,1,On-Time,4,medium,2,Medium,Yes,26.55,Discount-Driven
65,3214,2024-09-06,9,3,C,Ship,Fashion,high,M,3045,261,49,5,4,2,1,On-Time,7,low,1,Low,No,0.0,Discount-Driven
66,2297,2024-09-16,9,3,F,Ship,Fashion,low,M,2881,202,49,2,3,3,1,On-Time,4,medium,2,Medium,Yes,30.3,Discount-Driven
67,3435,2023-09-09,9,3,D,Ship,Fashion,medium,F,1710,109,15,2,3,3,1,On-Time,7,medium,2,Medium,Yes,16.35,Loyal Customer
68,1600,2023-06-01,6,2,F,Ship,Furniture,low,F,1878,158,6,3,3,3,1,On-Time,5,low,1,Low,No,0.0,Loyal Customer
69,3363,2023-12-02,12,4,A,Ship,Sports,medium,F,2512,231,6,2,4,4,1,On-Time,5,medium,2,Medium,Yes,34.65,Loyal Customer
70,3061,2024-01-03,1,1,B,Ship,Beauty,medium,M,2929,206,39,5,3,3,1,On-Time,4,low,1,Low,No,0.0,Loyal Customer
71,1241,2024-08-22,8,3,C,Ship,Furniture,high,M,3849,187,14,1,5,4,1,On-Time,5,medium,2,Medium,Yes,28.05,Loyal Customer
72,3041,2023-04-10,4,2,F,Ship,Furniture,low,F,2229,230,2,5,5,2,1,On-Time,6,low,1,Low,No,0.0,Loyal Customer
73,3824,2023-04-30,4,2,D,Ship,Electronics,medium,F,2998,232,33,5,5,3,1,On-Time,6,low,1,Low,No,0.0,Loyal Customer
74,4417,2024-01-20,1,1,F,Ship,Electronics,medium,F,3984,215,21,5,4,3,1,On-Time,6,low,1,Low,No,0.0,Loyal Customer
75,3612,2023-10-30,10,4,A,Ship,Electronics,low,F,2442,238,13,1,6,6,1,On-Time,5,medium,2,Medium,Yes,35.7,Loyal Customer
76,3945,2024-12-16,12,4,B,Ship,Grocery,low,F,3775,266,23,1,4,3,1,On-Time,6,medium,2,Medium,Yes,39.9,Loyal Customer
77,2363,2023-05-29,5,2,C,Ship,Electronics,medium,F,1788,158,36,3,2,2,1,On-Time,7,low,1,Low,No,0.0,Loyal Customer
78,3139,2023-07-20,7,3,F,Ship,Beauty,low,F,1518,113,43,3,3,3,1,On-Time,3,medium,2,Medium,Yes,16.95,Discount-Driven
79,2390,2023-01-03,1,1,D,Ship,Furniture,low,M,3959,223,18,4,3,3,1,On-Time,4,low,1,Low,No,0.0,Loyal Customer
80,4003,2024-02-04,2,1,F,Ship,Beauty,medium,F,3711,257,56,5,3,2,1,On-Time,7,low,1,Low,No,0.0,Discount-Driven
81,2478,2023-03-09,3,1,A,Ship,Sports,medium,F,1942,180,49,4,3,2,1,On-Time,6,low,1,Low,No,0.0,Discount-Driven
82,4499,2023-06-03,6,2,B,Ship,Electronics,low,M,1759,132,18,5,2,3,1,On-Time,3,low,1,Low,No,0.0,Loyal Customer
83,3556,2024-05-08,5,2,C,Ship,Grocery,high,F,2875,217,26,4,4,3,1,On-Time,4,low,1,Low,No,0.0,Loyal Customer
84,1775,2023-07-01,7,3,F,Ship,Sports,high,F,1364,162,31,5,5,3,1,On-Time,7,low,1,Low,No,0.0,Loyal Customer
85,1034,2024-06-08,6,2,D,Ship,Grocery,medium,F,2710,197,40,5,4,2,1,On-Time,4,low,1,Low,No,0.0,Loyal Customer
86,3253,2023-07-08,7,3,F,Ship,Sports,medium,M,2148,197,13,4,3,3,1,On-Time,5,low,1,Low,No,0.0,Loyal Customer
87,4152,2023-01-20,1,1,A,Ship,Furniture,low,M,2910,185,44,1,4,2,1,On-Time,6,medium,2,Medium,Yes,27.75,Discount-Driven
88,2955,2023-10-10,10,4,B,Ship,Beauty,medium,F,2974,278,3,2,6,3,1,On-Time,7,medium,2,Medium,Yes,41.7,Loyal Customer
89,2585,2023-01-10,1,1,C,Ship,Fashion,low,M,2339,229,49,3,3,3,1,On-Time,7,medium,2,Medium,Yes,34.35,Discount-Driven
90,4943,2024-11-30,11,4,F,Ship,Beauty,medium,F,3880,186,57,1,4,4,1,On-Time,3,medium,2,Medium,Yes,27.9,Discount-Driven
91,4459,2024-06-14,6,2,D,Ship,Electronics,high,F,1085,174,41,3,5,6,1,On-Time,3,medium,2,Medium,Yes,26.1,Discount-Driven
92,4073,2024-10-16,10,4,F,Ship,Fashion,low,F,3163,286,18,5,5,3,1,On-Time,3,low,1,Low,No,0.0,Loyal Customer
93,2021,2024-09-06,9,3,A,Ship,Grocery,medium,F,1188,175,7,4,4,2,1,On-Time,4,low,1,Low,No,0.0,Loyal Customer
94,4461,2023-10-30,10,4,B,Ship,Furniture,medium,F,3387,219,17,3,3,3,1,On-Time,6,low,1,Low,No,0.0,Loyal Customer
95,3613,2023-08-29,8,3,C,Ship,Furniture,high,F,2343,213,35,1,4,4,1,On-Time,4,medium,2,Medium,Yes,31.95,Loyal Customer
96,2129,2023-06-01,6,2,F,Ship,Grocery,low,M,2034,235,57,3,2,3,1,On-Time,6,medium,2,Medium,Yes,35.25,Discount-Driven
97,4843,2023-12-03,12,4,D,Ship,Electronics,medium,M,1225,149,18,3,3,2,1,On-Time,7,low,1,Low,No,0.0,Loyal Customer
98,4893,2023-07-07,7,3,F,Ship,Grocery,medium,F,2401,271,8,1,4,2,1,On-Time,4,medium,2,Medium,Yes,40.65,Loyal Customer
99,2500,2024-04-08,4,2,A,Ship,Sports,medium,M,1104,144,5,5,3,4,1,On-Time,4,low,1,Low,No,0.0,Loyal Customer
100,1702,2024-12-22,12,4,B,Ship,Electronics,medium,M,1617,145,21,2,4,2,1,On-Time,4,medium,2,Medium,Yes,21.75,Loyal Customer
101,3449,2023-06-26,6,2,C,Ship,Fashion,medium,M,1837,143,59,3,5,2,1,On-Time,5,medium,2,Medium,Yes,21.45,Discount-Driven
102,3777,2024-12-06,12,4,F,Ship,Grocery,low,M,2624,227,53,5,5,4,1,On-Time,6,medium,2,Medium,Yes,34.05,Discount-Driven
103,2579,2023-06-26,6,2,D,Ship,Electronics,low,M,2732,213,29,1,2,3,1,On-Time,6,medium,2,Medium,Yes,31.95,Loyal Customer
104,1161,2024-02-19,2,1,F,Ship,Fashion,low,M,1658,144,37,1,5,4,1,On-Time,4,medium,2,Medium,Yes,21.6,Loyal Customer
105,1201,2024-07-31,7,3,A,Ship,Grocery,low,M,2255,218,3,3,3,3,1,On-Time,5,low,1,Low,No,0.0,Loyal Customer
106,2981,2023-11-06,11,4,B,Ship,Furniture,medium,M,1588,144,59,2,4,3,1,On-Time,4,medium,2,Medium,Yes,21.6,Discount-Driven
107,1995,2023-01-02,1,1,C,Ship,Grocery,low,M,2624,238,17,1,3,3,1,On-Time,6,medium,2,Medium,Yes,35.7,Loyal Customer
108,3317,2023-11-13,11,4,F,Ship,Beauty,high,M,2053,216,26,5,4,3,1,On-Time,7,low,1,Low,No,0.0,Loyal Customer
109,4934,2024-05-23,5,2,D,Ship,Grocery,high,F,3257,238,55,5,4,3,1,On-Time,5,low,1,Low,No,0.0,Discount-Driven
110,1815,2024-07-25,7,3,F,Ship,Beauty,medium,M,1250,141,47,1,4,3,1,On-Time,5,medium,2,Medium,Yes,21.15,Discount-Driven
111,4342,2024-01-03,1,1,A,Road,Fashion,low,M,1284,158,2,1,3,2,1,On-Time,4,medium,2,Medium,Yes,23.7,Loyal Customer
112,1455,2024-07-08,7,3,B,Road,Grocery,low,F,3679,239,65,2,4,3,1,On-Time,7,medium,2,Medium,Yes,35.85,Discount-Driven
113,4533,2024-08-27,8,3,C,Road,Fashion,low,M,1816,175,25,3,4,2,1,On-Time,6,low,1,Low,No,0.0,Loyal Customer
114,4798,2023-08-14,8,3,F,Road,Fashion,low,M,2817,263,41,2,3,3,1,On-Time,3,medium,2,Medium,Yes,39.45,Discount-Driven
115,2275,2024-04-24,4,2,D,Road,Electronics,high,M,1616,168,50,5,3,2,1,On-Time,6,low,1,Low,No,0.0,Discount-Driven
116,2016,2023-03-04,3,1,F,Road,Fashion,high,M,1779,176,36,4,3,3,1,On-Time,6,low,1,Low,No,0.0,Loyal Customer
117,4773,2023-10-07,10,4,A,Road,Fashion,high,M,1024,150,60,1,4,4,1,On-Time,7,medium,2,Medium,Yes,22.5,Discount-Driven
118,3343,2023-01-14,1,1,B,Road,Grocery,medium,F,2326,265,31,3,4,2,1,On-Time,5,low,1,Low,No,0.0,Loyal Customer
119,4796,2023-01-28,1,1,C,Road,Grocery,low,F,2947,263,5,5,2,3,1,On-Time,6,low,1,Low,No,0.0,Loyal Customer
120,3767,2023-05-22,5,2,F,Road,Furniture,low,M,1387,145,20,1,5,3,1,On-Time,5,medium,2,Medium,Yes,21.75,Loyal Customer
121,4820,2024-09-11,9,3,D,Road,Electronics,low,F,2741,183,33,2,4,3,1,On-Time,7,medium,2,Medium,Yes,27.45,Loyal Customer
122,1337,2024-08-12,8,3,F,Road,Fashion,medium,F,2167,205,19,3,3,3,1,On-Time,7,low,1,Low,No,0.0,Loyal Customer
123,1878,2024-04-17,4,2,A,Road,Electronics,low,M,1714,160,64,2,4,3,1,On-Time,4,medium,2,Medium,Yes,24.0,Discount-Driven
124,2076,2024-06-07,6,2,B,Road,Beauty,medium,F,2102,252,48,3,3,2,1,On-Time,3,medium,2,Medium,Yes,37.8,Discount-Driven
125,1791,2023-07-03,7,3,C,Road,Fashion,low,M,2280,222,10,5,5,3,1,On-Time,7,low,1,Low,No,0.0,Loyal Customer
126,4993,2023-11-13,11,4,F,Road,Electronics,low,M,3607,203,25,3,3,2,1,On-Time,7,low,1,Low,No,0.0,Loyal Customer
127,3264,2023-12-27,12,4,D,Road,Furniture,medium,M,3516,220,40,5,4,3,1,On-Time,5,low,1,Low,No,0.0,Loyal Customer
128,1763,2024-03-20,3,1,F,Road,Furniture,low,F,1722,147,60,3,3,4,1,On-Time,7,medium,2,Medium,Yes,22.05,Discount-Driven
129,3235,2023-10-23,10,4,A,Road,Fashion,medium,M,2060,200,16,4,4,4,1,On-Time,6,low,1,Low,No,0.0,Loyal Customer
130,1379,2024-02-08,2,1,B,Road,Beauty,medium,M,2026,224,21,5,4,4,1,On-Time,4,low,1,Low,No,0.0,Loyal Customer
131,1492,2023-09-20,9,3,C,Road,Furniture,low,F,1364,179,17,5,3,2,1,On-Time,4,low,1,Low,No,0.0,Loyal Customer
132,4112,2024-01-12,1,1,F,Road,Furniture,low,M,1865,144,50,4,3,3,1,On-Time,6,low,1,Low,No,0.0,Discount-Driven
133,2180,2024-08-07,8,3,D,Flight,Beauty,low,M,3889,247,17,2,5,3,1,On-Time,7,medium,2,Medium,Yes,37.05,Loyal Customer
134,3062,2023-03-09,3,1,F,Flight,Electronics,medium,F,3582,280,51,4,5,6,1,On-Time,3,medium,2,Medium,Yes,42.0,Discount-Driven
135,4884,2024-04-15,4,2,A,Flight,Furniture,medium,F,1829,168,1,3,3,2,1,On-Time,7,low,1,Low,No,0.0,Loyal Customer
136,1064,2023-02-16,2,1,B,Flight,Grocery,medium,F,1889,157,4,5,3,3,1,On-Time,4,low,1,Low,No,0.0,Loyal Customer
137,4928,2023-02-27,2,1,C,Flight,Sports,medium,F,2208,189,51,3,3,4,1,On-Time,3,medium,2,Medium,Yes,28.35,Discount-Driven
138,4910,2023-01-24,1,1,F,Flight,Sports,medium,M,1739,162,7,5,3,2,1,On-Time,5,low,1,Low,No,0.0,Loyal Customer
139,3568,2023-10-17,10,4,D,Flight,Furniture,low,M,2399,207,48,1,4,5,1,On-Time,5,medium,2,Medium,Yes,31.05,Discount-Driven
140,2367,2024-03-19,3,1,F,Flight,Electronics,low,F,3860,237,10,1,5,2,1,On-Time,7,medium,2,Medium,Yes,35.55,Loyal Customer
141,2152,2024-02-07,2,1,A,Flight,Electronics,high,M,2020,264,59,4,4,3,1,On-Time,7,low,1,Low,No,0.0,Discount-Driven
142,3027,2023-01-24,1,1,B,Flight,Fashion,low,M,1645,149,51,4,5,3,1,On-Time,3,medium,2,Medium,Yes,22.35,Discount-Driven
143,3695,2023-03-05,3,1,C,Flight,Grocery,low,M,1462,162,41,5,5,3,1,On-Time,3,medium,2,Medium,Yes,24.3,Discount-Driven
144,2495,2024-10-21,10,4,F,Flight,Electronics,medium,F,2156,205,63,1,2,4,1,On-Time,7,medium,2,Medium,Yes,30.75,Discount-Driven
145,4134,2024-09-19,9,3,D,Flight,Beauty,medium,F,1540,158,51,1,2,3,1,On-Time,4,medium,2,Medium,Yes,23.7,Discount-Driven
146,2162,2024-09-01,9,3,F,Flight,Grocery,low,M,3707,248,46,2,2,2,1,On-Time,5,medium,2,Medium,Yes,37.2,Discount-Driven
147,2522,2023-08-27,8,3,A,Flight,Sports,low,M,3750,191,23,5,3,3,1,On-Time,3,low,1,Low,No,0.0,Loyal Customer
148,3640,2023-10-10,10,4,B,Flight,Grocery,medium,F,1844,146,24,3,4,4,1,On-Time,4,low,1,Low,No,0.0,Loyal Customer
149,1391,2024-03-17,3,1,C,Flight,Beauty,low,M,1490,135,56,3,3,3,1,On-Time,7,medium,2,Medium,Yes,20.25,Discount-Driven
150,2698,2023-10-27,10,4,F,Flight,Furniture,low,M,1062,149,40,1,5,3,1,On-Time,6,medium,2,Medium,Yes,22.35,Loyal Customer
151,1418,2023-04-03,4,2,D,Flight,Beauty,medium,F,2551,220,7,4,4,2,1,On-Time,3,low,1,Low,No,0.0,Loyal Customer
152,3336,2024-07-30,7,3,F,Flight,Beauty,medium,M,1269,98,44,3,5,5,1,On-Time,6,medium,2,Medium,Yes,14.7,Discount-Driven
153,1378,2024-01-10,1,1,A,Flight,Furniture,low,M,1238,97,32,4,3,4,1,On-Time,4,low,1,Low,No,0.0,Loyal Customer
154,2796,2024-11-16,11,4,B,Flight,Furniture,low,M,3932,183,53,3,3,2,1,On-Time,5,medium,2,Medium,Yes,27.45,Discount-Driven
155,4561,2023-11-06,11,4,C,Ship,Furniture,medium,F,1869,162,8,3,3,3,1,On-Time,4,low,1,Low,No,0.0,Loyal Customer
156,3278,2023-06-16,6,2,F,Ship,Furniture,low,F,1443,114,47,1,5,4,1,On-Time,5,high,3,High,Yes,17.1,High-Return Customer
157,4065,2023-01-07,1,1,D,Ship,Furniture,low,M,2491,275,41,3,6,5,1,On-Time,4,medium,2,Medium,Yes,41.25,Discount-Driven
158,3088,2023-02-12,2,1,F,Ship,Beauty,medium,F,3845,203,39,2,3,2,1,On-Time,3,medium,2,Medium,Yes,30.45,Loyal Customer
159,4099,2023-12-06,12,4,A,Ship,Fashion,high,M,3671,205,65,5,5,2,1,On-Time,3,medium,2,Medium,Yes,30.75,Discount-Driven
160,3182,2023-06-02,6,2,B,Ship,Fashion,low,F,1946,149,63,3,3,3,1,On-Time,6,medium,2,Medium,Yes,22.35,Discount-Driven
161,1200,2023-02-12,2,1,C,Ship,Electronics,medium,M,1138,112,56,2,2,4,1,On-Time,4,medium,2,Medium,Yes,16.8,Discount-Driven
162,2863,2024-12-25,12,4,F,Ship,Fashion,medium,F,3482,207,56,1,3,3,1,On-Time,4,medium,2,Medium,Yes,31.05,Discount-Driven
163,1779,2023-07-20,7,3,D,Ship,Sports,low,F,3427,261,58,1,4,4,1,On-Time,6,medium,2,Medium,Yes,39.15,Discount-Driven
164,3977,2024-10-28,10,4,F,Ship,Fashion,medium,M,3375,274,6,2,5,3,1,On-Time,7,medium,2,Medium,Yes,41.1,Loyal Customer
165,4104,2024-10-26,10,4,A,Ship,Beauty,low,M,1692,141,52,5,3,2,1,On-Time,4,low,1,Low,No,0.0,Discount-Driven
166,4119,2024-07-01,7,3,B,Ship,Furniture,medium,F,1498,166,17,3,3,4,1,On-Time,4,low,1,Low,No,0.0,Loyal Customer
167,1502,2023-08-14,8,3,C,Ship,Furniture,high,F,1020,141,34,2,5,3,1,On-Time,4,medium,2,Medium,Yes,21.15,Loyal Customer
168,3454,2024-09-24,9,3,F,Ship,Beauty,low,M,1709,152,43,5,4,3,1,On-Time,7,low,1,Low,No,0.0,Discount-Driven
169,4645,2024-06-04,6,2,D,Ship,Sports,low,F,2478,250,53,2,4,3,1,On-Time,3,medium,2,Medium,Yes,37.5,Discount-Driven
170,2751,2023-12-05,12,4,F,Ship,Fashion,medium,F,1809,161,28,3,4,3,1,On-Time,6,low,1,Low,No,0.0,Loyal Customer
171,1804,2023-12-01,12,4,A,Ship,Beauty,medium,F,2263,185,10,3,4,3,1,On-Time,7,low,1,Low,No,0.0,Loyal Customer
172,3146,2023-06-30,6,2,B,Ship,Electronics,high,F,1096,176,52,4,4,4,1,On-Time,5,low,1,Low,No,0.0,Discount-Driven
173,3731,2024-06-16,6,2,C,Ship,Furniture,low,M,1550,148,56,4,3,3,1,On-Time,5,low,1,Low,No,0.0,Discount-Driven
174,2895,2023-09-29,9,3,F,Ship,Grocery,low,F,2751,270,63,2,3,3,1,On-Time,7,medium,2,Medium,Yes,40.5,Discount-Driven
175,3773,2023-07-13,7,3,D,Ship,Electronics,low,F,3935,242,51,3,3,3,1,On-Time,7,medium,2,Medium,Yes,36.3,Discount-Driven
176,2570,2024-06-21,6,2,F,Ship,Sports,medium,M,1285,150,3,4,4,2,1,On-Time,3,low,1,Low,No,0.0,Loyal Customer
177,1960,2024-04-25,4,2,A,Ship,Electronics,high,M,3872,192,20,5,4,3,1,On-Time,5,low,1,Low,No,0.0,Loyal Customer
178,4810,2023-04-08,4,2,B,Ship,Beauty,medium,M,1314,116,54,5,4,3,1,On-Time,6,low,1,Low,No,0.0,Discount-Driven
